flight_id,view,method,regime,gamma,route,episode,seed,simulated_status,hardware_eligibility,flight_reference,flight_reference_sha256,source_archive,source_archive_sha256,source_group,source_row,checkpoint_sha256,config_sha256
0814_expanded_default_e121_s96477,paper-ready-expanded,Expanded_S4,,0.1,RLL,121,96477,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e121_seed_96477_100hz.npz,046b588ce221971c8c61708896b5a94baa7446e2342f77bc752a56b68edd12ca,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,4,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e267_s101879,paper-ready-expanded,Expanded_S4,,0.1,RLR,267,101879,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e267_seed_101879_100hz.npz,b6afb2c17e4a17d55a572df93caeb1fb6b997cc7abc8222012fe0438eb1d2d62,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,5,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e4_s92148,paper-ready-expanded,Expanded_S4,,0.1,RRL,4,92148,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e4_seed_92148_100hz.npz,0aa252de3bcc79e168ec721f057d032e9e4161070d02f3fe3ea2879d2fea9a33,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,6,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e60_s94220,paper-ready-expanded,Expanded_S4,,0.1,RRR,60,94220,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e60_seed_94220_100hz.npz,08348f47a27a6e4b4fff8e3fb0fdf570569123893e7672263aee5f8a378b6eb8,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,7,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e0_s314159,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,RLR,0,314159,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/cfmmppi/balanced/gamma_0p1_e0_seed_314159_100hz.npz,41bc335bca19a25f3a2678f3a2ce792a361f82419477f45db48268a9198342a1,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,0,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e1_s314196,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,LLR,1,314196,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/cfmmppi/balanced/gamma_0p1_e1_seed_314196_100hz.npz,fb06d611b1f3bfc8f82a1252a7147361407daace7d16be2ac1c291694cd11126,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,1,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e2_s314233,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,LRL,2,314233,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/cfmmppi/balanced/gamma_0p1_e2_seed_314233_100hz.npz,2461156c0905d4eb6b32b60132b6c87b19e7a6697a0b9b14111c219b61e35b04,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,2,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e3_s314270,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,,3,314270,COLLISION,SIMULATION_ONLY_KNOWN_COLLISION,flight_references/cfmmppi/balanced/gamma_0p1_e3_seed_314270_100hz.npz,269fc2636ff0158d2a6c7874fb3c08cd169498293f58fb1f2320941e32b3897d,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,3,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e4_s314307,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,,4,314307,COLLISION,SIMULATION_ONLY_KNOWN_COLLISION,flight_references/cfmmppi/balanced/gamma_0p1_e4_seed_314307_100hz.npz,b2a3152a97afe8613a50c242009b990dd9138b9696a8f8f418c689093ee4fbb6,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,4,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e5_s314344,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,,5,314344,COLLISION,SIMULATION_ONLY_KNOWN_COLLISION,flight_references/cfmmppi/balanced/gamma_0p1_e5_seed_314344_100hz.npz,157df94e0967c31f9da33455d00afcaaac3cd70deeaacd4f324002164b2ff9fe,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,5,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e6_s314381,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,XRX,6,314381,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/cfmmppi/balanced/gamma_0p1_e6_seed_314381_100hz.npz,138926c374fe03a665f16495c8ceb842067828906ad9bf486c6c5afaae44e891,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,6,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_cfmmppi_balanced_e7_s314418,paper-ready-cfmmppi,CFM-MPPI,balanced,0.1,LRL,7,314418,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/cfmmppi/balanced/gamma_0p1_e7_seed_314418_100hz.npz,f0fd8f6ea4c7a1e6cdabc2778c7e46e8b8678d193734f0a73da86a6ad138224c,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-cfmmppi,7,76b10a69b6f26d65533d4e617ccbf6fb77a2178ac030244c5a745c11a4d0a3c0,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
