gamma,seed,status,mode,theta_deg,steps,min_clearance_m,time_to_goal_s,mean_feasible_fraction
0.1,60,SUCCESS,above,66.40769879316589,76,0.2203890743340906,7.6000000000000005,0.5726768092105263
0.1,61,SUCCESS,above,54.8994086950069,93,0.04356925930437683,9.3,0.5489121303763441
0.1,62,SUCCESS,below,-47.67928234667623,81,0.19619606309424054,8.1,0.47193287037037035
0.1,63,SUCCESS,above,80.69938488706191,82,0.15539749063067443,8.200000000000001,0.5506383384146342
0.3,0,COLLISION,none,,38,-0.002312604192524159,,0.5887643914473685
0.3,1,COLLISION,none,,38,-0.007979765199032152,,0.5860402960526315
0.3,2,COLLISION,none,,36,-0.00597977932648075,,0.6149088541666666
0.3,3,COLLISION,none,,38,-0.005058827589695447,,0.5796669407894737
0.3,4,COLLISION,none,,41,-0.004081850725565217,,0.5383479420731707
0.3,5,COLLISION,none,,37,-0.013656606727524445,,0.6047825168918919
0.3,6,COLLISION,none,,39,-0.0034956343257833145,,0.5706129807692307
0.3,7,COLLISION,none,,38,-0.01624929082701093,,0.5818256578947368
0.3,8,SUCCESS,above,96.80942185683276,83,0.023767716448250542,8.3,0.752964984939759
0.3,9,SUCCESS,above,111.2442848202869,79,0.029822980881896555,7.9,0.7789013053797469
0.3,10,COLLISION,none,,38,-0.021670533122501612,,0.631578947368421
0.3,11,COLLISION,none,,37,-0.004351047761722682,,0.6074746621621622
0.3,12,COLLISION,none,,40,-0.0009084127520947449,,0.5568359375
0.3,13,COLLISION,none,,39,-0.01574862935808341,,0.5677584134615384
0.3,14,COLLISION,none,,38,-0.01308078620037939,,0.5812602796052632
0.3,15,SUCCESS,below,-93.51277337378447,84,0.011969355182482988,8.4,0.6065615699404762
0.3,16,COLLISION,none,,38,-0.009520300884539035,,0.6052631578947368
0.3,17,SUCCESS,above,105.01709597061246,81,0.05447349093451853,8.1,0.7482638888888888
0.3,18,COLLISION,none,,37,-7.991772168480793e-07,,0.5974451013513513
0.3,19,COLLISION,none,,40,-0.006736389317752556,,0.56806640625
0.3,20,COLLISION,none,,41,-0.004018370093180401,,0.5611661585365854
0.3,21,SUCCESS,above,121.9715660700794,82,0.030663679381273845,8.200000000000001,0.7862519054878049
0.3,22,COLLISION,none,,38,-0.02291530276947984,,0.5831620065789473
0.3,23,COLLISION,none,,38,-0.012816980281460721,,0.6053659539473685
0.3,24,COLLISION,none,,39,-0.014630061954100826,,0.6151842948717948
0.3,25,COLLISION,none,,39,-0.020561667655880855,,0.58984375
0.3,26,COLLISION,none,,41,-0.004254364264982158,,0.5614043445121951
0.3,27,SUCCESS,left,40.40865150900962,85,0.02299976998795311,8.5,0.69140625
0.3,28,COLLISION,none,,37,-0.01892880236315575,,0.6028293918918919
0.3,29,COLLISION,none,,38,-0.004497169586508698,,0.6066509046052632
0.3,30,COLLISION,none,,38,-0.014805218704754763,,0.579821134868421
0.3,31,COLLISION,none,,40,-0.016092090407610504,,0.575244140625
0.3,32,SUCCESS,left,-42.309394082686346,80,0.022088254302723653,8.0,0.668994140625
0.3,33,SUCCESS,below,-67.93687270019315,85,0.02562149941422831,8.5,0.5722196691176471
0.3,34,COLLISION,none,,40,-0.0049624634503148135,,0.575390625
0.3,35,SUCCESS,below,-110.41110168324244,82,0.020501204551477303,8.200000000000001,0.6716606326219512
0.3,36,COLLISION,none,,38,-0.013659805967923322,,0.631578947368421
0.3,37,COLLISION,none,,39,-0.01346501938508754,,0.571464342948718
0.3,38,SUCCESS,left,37.12393149160253,80,0.029050909943978187,8.0,0.7006591796875
0.3,39,SUCCESS,above,72.54234217739574,77,0.051208585852658084,7.7,0.7189275568181818
0.3,40,COLLISION,none,,37,-0.014051615452114585,,0.6011929898648649
0.3,41,SUCCESS,below,-64.68836290318083,82,0.008744543091159851,8.200000000000001,0.5964415015243902
0.3,42,COLLISION,none,,41,-0.0042090928597861565,,0.5404916158536586
0.3,43,COLLISION,none,,38,-0.018493048211621788,,0.580078125
0.3,44,SUCCESS,below,-115.02556514990327,86,0.016957370499762814,8.6,0.6259084302325582
0.3,45,COLLISION,none,,37,-0.01737405249964402,,0.6216216216216216
0.3,46,COLLISION,none,,38,-0.010652894281234337,,0.606188322368421
0.3,47,COLLISION,none,,38,-0.02997333912322314,,0.6085012335526315
0.3,48,COLLISION,none,,41,-0.0050560456141367505,,0.5619283536585366
0.3,49,SUCCESS,below,-93.26630835894572,76,0.04448024582051152,7.6000000000000005,0.6339432565789473
0.3,50,SUCCESS,above,66.0659232767975,80,0.027131955548286235,8.0,0.7124267578125
0.3,51,COLLISION,none,,39,-0.007101205953000567,,0.5656550480769231
0.3,52,SUCCESS,above,103.02596694033336,78,0.06062997188962144,7.800000000000001,0.7269381009615384
0.3,53,SUCCESS,above,103.78764311931927,80,0.01257241946635379,8.0,0.7613525390625
0.3,54,SUCCESS,below,-122.4143846485241,79,0.008545954276372447,7.9,0.6674001186708861
0.3,55,COLLISION,none,,39,-0.005986370259623952,,0.5658052884615384
0.3,56,COLLISION,none,,37,-0.004140589692358532,,0.6224134290540541
0.3,57,COLLISION,none,,37,-0.0024634900117362357,,0.6219383445945946
0.3,58,SUCCESS,below,-105.31116256670694,78,0.003041458374863082,7.800000000000001,0.6044921875
0.3,59,COLLISION,none,,40,-0.0023871614604182856,,0.577001953125
0.3,60,COLLISION,none,,40,-0.008779871081172563,,0.552783203125
0.3,61,SUCCESS,below,-90.83412634040268,82,0.034264042028301966,8.200000000000001,0.5972036966463414
0.3,62,COLLISION,none,,37,-0.008305517310019217,,0.6226245777027027
0.3,63,SUCCESS,above,81.81944226897842,74,0.09552607361809962,7.4,0.7271167652027027
0.5,0,COLLISION,none,,38,-0.019453516721485375,,0.6316817434210527
0.5,1,COLLISION,none,,37,-0.02456360513879824,,0.6486486486486487
0.5,2,COLLISION,none,,36,-0.013306185171505835,,0.6667751736111112
0.5,3,COLLISION,none,,36,-0.012749856989838548,,0.6456705729166666
0.5,4,COLLISION,none,,36,-0.006445605623182138,,0.6521809895833334
0.5,5,SUCCESS,above,105.90819488458588,81,0.00990597384751557,8.1,0.7817322530864198
0.5,6,COLLISION,none,,36,-0.004755579828812806,,0.6666666666666666
0.5,7,SUCCESS,below,-99.00311610000243,79,0.0499101912107347,7.9,0.6590189873417721
0.5,8,COLLISION,none,,36,-0.0058892474409743545,,0.6555447048611112
0.5,9,COLLISION,none,,39,-0.01090128891580916,,0.6411758814102564
0.5,10,COLLISION,none,,37,-0.0067353150522843075,,0.6757284628378378
0.5,11,COLLISION,none,,38,-0.005802855754435676,,0.6317331414473685
0.5,12,SUCCESS,below,-68.80473713261354,79,0.04555368133860538,7.9,0.6764240506329114
0.5,13,COLLISION,none,,38,-0.006619906579961532,,0.6316303453947368
0.5,14,COLLISION,none,,36,-0.0018262022935269795,,0.666015625
0.5,15,COLLISION,none,,39,-0.021350332067888667,,0.6414763621794872
0.5,16,SUCCESS,below,-68.22325150008795,80,0.012006615575575807,8.0,0.647607421875
0.5,17,COLLISION,none,,36,-0.00988859728282071,,0.6666666666666666
0.5,18,COLLISION,none,,37,-0.03005926593392788,,0.6486486486486487
0.5,19,COLLISION,none,,36,-0.009587341407447159,,0.6666666666666666
0.5,20,COLLISION,none,,39,-0.012480963507447984,,0.616035657051282
0.5,21,COLLISION,none,,37,-0.022968146747277818,,0.6756756756756757
0.5,22,COLLISION,none,,36,-0.010244777855489662,,0.6666666666666666
0.5,23,COLLISION,none,,39,-0.012187842637463253,,0.6158353365384616
0.5,24,COLLISION,none,,38,-0.03614525456392076,,0.6583059210526315
0.5,25,COLLISION,none,,37,-0.02718377343764594,,0.6486486486486487
0.5,26,COLLISION,none,,37,-0.009450154584865644,,0.6489125844594594
0.5,27,COLLISION,none,,39,-0.005645733286636034,,0.5984074519230769
0.5,28,COLLISION,none,,36,-0.000654872098903525,,0.6666666666666666
0.5,29,COLLISION,none,,37,-0.004104848517443915,,0.6537162162162162
0.5,30,COLLISION,none,,36,-0.027216829051929514,,0.6449652777777778
0.5,31,COLLISION,none,,38,-0.012929058320208298,,0.6321443256578947
0.5,32,COLLISION,none,,39,-0.0009107671756713454,,0.6168870192307693
0.5,33,COLLISION,none,,36,-0.007437014689268939,,0.6666666666666666
0.5,34,COLLISION,none,,37,-0.015813624564436635,,0.6488597972972973
0.5,35,COLLISION,none,,37,-0.03119125521859356,,0.6486486486486487
0.5,36,COLLISION,none,,38,-0.015612717034189927,,0.6581003289473685
0.5,37,COLLISION,none,,39,-0.018695720637108226,,0.6157852564102564
0.5,38,COLLISION,none,,36,-0.0005517446176261931,,0.6523980034722222
0.5,39,SUCCESS,above,58.72260575687469,77,0.024617899342068095,7.7,0.7542359983766234
0.5,40,COLLISION,none,,37,-0.009627637147762325,,0.6487014358108109
0.5,41,COLLISION,none,,36,-0.01601185652227094,,0.6476236979166666
0.5,42,COLLISION,none,,36,-0.02377441858614937,,0.6666666666666666
0.5,43,COLLISION,none,,38,-0.019343328447168073,,0.6124074835526315
0.5,44,COLLISION,none,,38,-0.006280109515739041,,0.6322471217105263
0.5,45,COLLISION,none,,38,-0.020459305756984958,,0.6321957236842105
