gamma,seed,file,reference_success,reference_reached,reference_collision,reference_taskspace_violation,plant_success,plant_reached,plant_collision,plant_taskspace_violation,plant_true_soft_geofence_violation,plant_measured_soft_geofence_violation,plant_true_hard_geofence_violation,plant_measured_hard_geofence_violation,raw_action_cap_fraction,reference_speed_cap_fraction,reference_vertical_speed_cap_fraction,applied_action_cap_fraction,clearance_erosion_m,reference_min_clearance_m,plant_min_clearance_m,minimum_true_soft_geofence_margin_m,minimum_measured_soft_geofence_margin_m,minimum_true_hard_geofence_margin_m,minimum_measured_hard_geofence_margin_m,raw_reference_tracking_rmse_m,raw_reference_tracking_max_error_m,command_tracking_rmse_m,command_tracking_max_error_m,reference_command_rmse_m,command_clip_fraction,current_state_position_weight,peak_reference_speed_mps,peak_plant_speed_mps,peak_abs_plant_vertical_speed_mps,max_abs_applied_acceleration_mps2,time_to_goal_s
0.3,48,run_g0.3_s48.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.618421052631579,0.2868421052631579,0.0,0.0,0.18972884387495767,0.03732123727408243,-0.15240760660087524,-0.009201252460479759,-0.011068606376647971,0.14079874753952026,0.13893139362335205,0.20643121004104614,0.35588186979293823,0.20643121004104614,0.35588186979293823,0.0,0.0,0.0,0.7000053524971008,0.9145806431770325,0.2939509153366089,0.29996079206466675,7.972155912269627
0.3,49,run_g0.3_s49.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6538461538461539,0.30128205128205127,0.0,0.0,0.1642139378133094,0.08863597989246913,-0.07557795792084027,-0.04394142627716069,-0.013395214080810569,0.10605857372283922,0.13660478591918945,0.27262189984321594,0.6355843544006348,0.27262189984321594,0.6355843544006348,0.0,0.0,0.0,0.7000047564506531,1.0199675559997559,0.2646276652812958,0.2983890473842621,7.904652658803933
0.3,51,run_g0.3_s51.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.620253164556962,0.2936708860759494,0.0,0.0,0.22136478796317074,0.04642215958132678,-0.17494262838184396,0.014708971977233865,0.013225293159484841,0.1647089719772339,0.16322529315948486,0.24297557771205902,0.5568116903305054,0.24297557771205902,0.5568116903305054,0.0,0.0,0.0,0.7000051736831665,1.0281007289886475,0.31033942103385925,0.29892364144325256,8.154167555241553
0.3,54,run_g0.3_s54.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6794871794871795,0.2743589743589744,0.0,0.0,0.2369737396663389,0.04313095118975857,-0.19384278847658032,-0.009068274497985862,-0.011296713352203391,0.14093172550201416,0.13870328664779663,0.23554718494415283,0.4315972626209259,0.23554718494415283,0.4315972626209259,0.0,0.0,0.0,0.7000064253807068,0.8797606825828552,0.2545756995677948,0.29960763454437256,8.389590680722923
0.3,57,run_g0.3_s57.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.5974025974025974,0.2753246753246753,0.0,0.0,0.20156116185467488,0.03953013563146879,-0.1620310262232061,0.02020672559738157,0.018521940708160378,0.1702067255973816,0.1685219407081604,0.22916647791862488,0.40681782364845276,0.22916647791862488,0.40681782364845276,0.0,0.0,0.0,0.70000821352005,0.8721466064453125,0.30354565382003784,0.29991841316223145,8.13276516610171
0.3,61,run_g0.3_s61.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6341463414634146,0.28780487804878047,0.0,0.0,0.2535108949925937,0.027393674003530155,-0.22611722098906353,-0.0009417772293091042,-0.0033011972904205544,0.14905822277069092,0.14669880270957947,0.23326528072357178,0.45573750138282776,0.23326528072357178,0.45573750138282776,0.0,0.0,0.0,0.7000062465667725,1.076969027519226,0.28431418538093567,0.29983511567115784,8.670171962039456
0.3,63,run_g0.3_s63.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.589041095890411,0.3232876712328767,0.0,0.0,0.1706444916613205,0.05217848688834997,-0.11846600477297053,0.03019449710845945,0.028362488746643044,0.18019449710845947,0.17836248874664307,0.25893259048461914,0.42913833260536194,0.25893259048461914,0.42913833260536194,0.0,0.0,0.0,0.7000068426132202,0.8690376877784729,0.265034943819046,0.2999492585659027,7.662043980237782
0.3,64,run_g0.3_s64.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6973684210526315,0.32105263157894737,0.0,0.0,0.21765239771131784,0.10759978703578749,-0.11005261067553035,0.010232812166213967,0.005770331621170022,0.160232812166214,0.15577033162117004,0.22414901852607727,0.3787474036216736,0.22414901852607727,0.3787474036216736,0.0,0.0,0.0,0.7000070810317993,0.893162727355957,0.26838892698287964,0.29995831847190857,8.001210623226498
0.3,65,run_g0.3_s65.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6623376623376623,0.2636363636363636,0.0,0.0,0.2238768582748335,0.038898079275941744,-0.18497877899889176,0.024174427986144997,0.022716587781906106,0.17417442798614502,0.17271658778190613,0.2472037672996521,0.44640886783599854,0.2472037672996521,0.44640886783599854,0.0,0.0,0.0,0.7000067234039307,0.889514684677124,0.25584518909454346,0.2999749183654785,8.316012018434101
0.3,68,run_g0.3_s68.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.569620253164557,0.2936708860759494,0.0,0.0,0.26143817423007754,0.030848835521868623,-0.23058933870820889,-0.024054163694381736,-0.024848037958145164,0.1259458363056183,0.12515196204185486,0.2646188735961914,0.46674877405166626,0.2646188735961914,0.46674877405166626,0.0,0.0,0.0,0.7000077366828918,0.9827555418014526,0.3252146542072296,0.299905925989151,8.310052990764442
