group,method,regime,gamma,episode,seed,status,route,source,row
not-paper-ready-pre2,PRE2,,1.0,18,92666,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,16
not-paper-ready-pre2,PRE2,,1.0,109,96033,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,17
not-paper-ready-pre2,PRE2,,1.0,25,92925,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,18
not-paper-ready-pre2,PRE2,,1.0,62,94294,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,19
not-paper-ready-pre2,PRE2,,1.0,154,97698,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,20
not-paper-ready-pre2,PRE2,,1.0,68,94516,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,21
not-paper-ready-pre2,PRE2,,1.0,170,98290,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,22
not-paper-ready-pre2,PRE2,,1.0,1,92037,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,23
not-paper-ready-expanded,Expanded,,0.3,32,93184,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,0
not-paper-ready-expanded,Expanded,,0.3,33,93221,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,1
not-paper-ready-expanded,Expanded,,0.3,79,94923,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,2
not-paper-ready-expanded,Expanded,,0.3,8,92296,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,3
not-paper-ready-expanded,Expanded,,0.3,27,92999,SUCCESS,RLL,trajectories/paper_ready_bowling_handoff.pt,4
not-paper-ready-expanded,Expanded,,0.3,88,95256,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,5
not-paper-ready-expanded,Expanded,,0.3,14,92518,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,6
not-paper-ready-expanded,Expanded,,0.3,4,92148,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,7
not-paper-ready-expanded,Expanded,,0.5,108,95996,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,8
not-paper-ready-expanded,Expanded,,0.5,116,96292,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,9
not-paper-ready-expanded,Expanded,,0.5,90,95330,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,10
not-paper-ready-expanded,Expanded,,0.5,159,97883,SUCCESS,LRR,trajectories/paper_ready_bowling_handoff.pt,11
not-paper-ready-expanded,Expanded,,0.5,86,95182,SUCCESS,RLL,trajectories/paper_ready_bowling_handoff.pt,12
not-paper-ready-expanded,Expanded,,0.5,48,93776,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,13
not-paper-ready-expanded,Expanded,,0.5,171,98327,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,14
not-paper-ready-expanded,Expanded,,0.5,155,97735,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,15
not-paper-ready-expanded,Expanded,,1.0,16,92592,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,16
not-paper-ready-expanded,Expanded,,1.0,97,95589,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,17
not-paper-ready-expanded,Expanded,,1.0,82,95034,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,18
not-paper-ready-expanded,Expanded,,1.0,74,94738,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,19
not-paper-ready-expanded,Expanded,,1.0,188,98956,SUCCESS,RLL,trajectories/paper_ready_bowling_handoff.pt,20
not-paper-ready-expanded,Expanded,,1.0,130,96810,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,21
not-paper-ready-expanded,Expanded,,1.0,64,94368,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,22
not-paper-ready-expanded,Expanded,,1.0,111,96107,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,23
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.3,0,271828,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,0
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.3,1,271865,SUCCESS,XRR,trajectories/paper_ready_bowling_handoff.pt,1
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.3,2,271902,SUCCESS,LXL,trajectories/paper_ready_bowling_handoff.pt,2
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.3,3,271939,SUCCESS,LRR,trajectories/paper_ready_bowling_handoff.pt,3
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.5,0,271828,SUCCESS,LRR,trajectories/paper_ready_bowling_handoff.pt,4
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.5,1,271865,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,5
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.5,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,6
not-paper-ready-cfmmppi,CFM-MPPI,balanced,0.5,3,271939,SUCCESS,XLX,trajectories/paper_ready_bowling_handoff.pt,7
not-paper-ready-cfmmppi,CFM-MPPI,balanced,1.0,0,271828,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,8
not-paper-ready-cfmmppi,CFM-MPPI,balanced,1.0,1,271865,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,9
not-paper-ready-cfmmppi,CFM-MPPI,balanced,1.0,2,271902,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,10
